,Date,Time,Origin,Destination,NbSegments,Seg1Date,Seg2Date,Flag
20,2013-01-01,18:38:29,MAD,SEA,2,2013-06-26 00:00:00,2013-07-26 00:00:00,0
21,2013-01-01,14:07:13,DUS,STN,2,2013-03-18 00:00:00,2013-03-22 00:00:00,0
22,2013-01-01,15:14:09,PAD,FUE,1,2013-01-15 00:00:00,,0
23,2013-01-01,23:32:58,DUS,IST,2,2013-03-24 00:00:00,2013-03-28 00:00:00,0
24,2013-01-01,10:39:09,BHX,VIE,2,2013-01-15 00:00:00,2013-01-22 00:00:00,0
25,2013-01-01,13:49:17,CGB,SAO,1,2013-01-07 00:00:00,,0
26,2013-01-01,21:22:10,ZRH,BRI,2,2013-04-06 00:00:00,2013-04-14 00:00:00,0
27,2013-01-01,18:33:28,RUH,JED,1,2013-01-04 00:00:00,,0
28,2013-01-01,16:59:19,UME,CPH,2,2013-01-06 00:00:00,2013-01-15 00:00:00,0
29,2013-01-01,21:25:37,FRA,DRS,1,2013-04-03 00:00:00,,0
30,2013-01-01,10:13:02,BER,DUS,2,2013-02-22 00:00:00,2013-07-24 00:00:00,0
31,2013-01-01,01:47:30,WAW,VCE,2,2013-04-20 00:00:00,2013-04-27 00:00:00,0
32,2013-01-01,22:43:07,MOW,NBC,1,2013-01-05 00:00:00,,0
33,2013-01-01,17:09:52,FRA,USM,2,2013-01-02 00:00:00,2013-01-17 00:00:00,0
34,2013-01-01,17:59:44,FRA,IAD,2,2013-03-20 00:00:00,2013-03-25 00:00:00,0
35,2013-01-01,16:24:29,STO,BKK,2,2013-03-04 00:00:00,2013-03-20 00:00:00,0
36,2013-01-01,16:43:16,LYS,SIN,2,2013-04-18 00:00:00,2013-05-09 00:00:00,0
37,2013-01-01,07:25:32,HYD,LKO,1,2013-01-04 00:00:00,,0
38,2013-01-01,01:44:37,CPH,BKK,2,2013-01-09 00:00:00,2013-02-06 00:00:00,0
39,2013-01-01,18:45:56,GRZ,MUC,2,2013-02-23 00:00:00,2013-03-03 00:00:00,0
40,2013-01-01,06:36:57,DMM,MNL,2,2013-06-01 00:00:00,2013-06-30 00:00:00,0
41,2013-01-01,06:31:05,MAA,BBI,1,2013-02-18 00:00:00,,0
42,2013-01-01,12:22:08,CPH,MNL,2,2013-01-07 00:00:00,2013-02-03 00:00:00,0
43,2013-01-01,16:02:22,BOS,RSW,2,2013-04-12 00:00:00,2013-04-21 00:00:00,0
44,2013-01-01,07:45:38,PVG,CMH,1,2013-02-22 00:00:00,,0
45,2013-01-01,11:48:31,EWR,PLS,2,2013-01-22 00:00:00,2013-01-29 00:00:00,0
46,2013-01-01,13:58:19,STR,MIL,2,2013-02-01 00:00:00,2013-02-03 00:00:00,0
47,2013-01-01,13:01:06,TLV,HAJ,2,2013-03-26 00:00:00,2013-03-26 00:00:00,0
48,2013-01-01,19:14:18,DUS,NKC,1,2013-01-04 00:00:00,,0
49,2013-01-01,04:49:55,OTP,CPH,1,2013-06-12 00:00:00,,0
50,2013-01-01,15:57:28,DME,HEL,4,2013-01-02 00:00:00,2013-01-02 00:00:00,0
51,2013-01-01,21:58:18,DUS,AYT,2,2013-08-07 00:00:00,2013-09-02 00:00:00,0
52,2013-01-01,19:06:51,OPO,SEA,2,2013-08-25 00:00:00,2013-09-10 00:00:00,0
53,2013-01-01,18:49:43,STR,FLR,2,2013-03-08 00:00:00,2013-03-10 00:00:00,0
54,2013-01-01,21:42:06,CGN,LIS,1,2013-01-19 00:00:00,,0
55,2013-01-01,12:11:34,PAR,BOD,2,2013-01-30 00:00:00,2013-02-19 00:00:00,0
56,2013-01-01,21:41:38,BHX,IKA,2,2013-04-11 00:00:00,2013-04-30 00:00:00,0
57,2013-01-01,13:33:05,NYC,TLS,1,2013-06-28 00:00:00,,0
58,2013-01-01,10:57:13,MUC,MEX,1,2013-07-03 00:00:00,,0
59,2013-01-01,07:00:38,ATL,MIA,1,2013-01-10 00:00:00,,0
60,2013-01-01,02:11:27,LON,BKK,2,2013-03-01 00:00:00,2013-03-15 00:00:00,0
61,2013-01-01,20:38:27,SGC,LED,1,2013-01-11 00:00:00,,0
62,2013-01-01,11:58:10,BCN,VIE,1,2013-10-31 00:00:00,,0
63,2013-01-01,21:45:06,LED,FRA,2,2013-03-15 00:00:00,2013-03-31 00:00:00,0
64,2013-01-01,14:14:07,YUL,ATH,2,2013-07-13 00:00:00,2013-08-03 00:00:00,0
65,2013-01-01,16:46:38,LHR,DXB,2,2013-05-24 00:00:00,2013-06-04 00:00:00,0
66,2013-01-01,07:44:09,LYS,MRS,2,2013-02-05 00:00:00,2013-02-05 00:00:00,0
67,2013-01-01,12:57:34,ATL,MSY,1,2013-01-15 00:00:00,,0
68,2013-01-01,20:00:05,IAD,SVO,1,2013-09-11 00:00:00,,0
69,2013-01-01,07:22:58,KEF,CPH,2,2013-01-13 00:00:00,2013-01-18 00:00:00,0
70,2013-01-01,17:23:37,DSM,ONT,2,2013-02-19 00:00:00,2013-03-05 00:00:00,0
71,2013-01-01,20:13:34,CMH,SJD,2,2013-07-01 00:00:00,2013-07-06 00:00:00,0
72,2013-01-01,19:03:56,CGN,MUC,1,2013-02-15 00:00:00,,0
73,2013-01-01,14:25:20,LON,MNL,2,2013-05-25 00:00:00,2013-06-15 00:00:00,0
74,2013-01-01,18:15:46,PEE,SOF,1,2013-01-04 00:00:00,,0
75,2013-01-01,17:13:41,PHL,LON,2,2013-07-09 00:00:00,2013-07-27 00:00:00,0
76,2013-01-01,00:06:35,LED,BUD,2,2013-01-03 00:00:00,2013-01-10 00:00:00,0
77,2013-01-01,16:40:47,MSP,KHH,2,2013-01-16 00:00:00,2013-01-30 00:00:00,0
78,2013-01-01,15:22:10,LON,ORL,2,2013-03-13 00:00:00,2013-03-27 00:00:00,0
79,2013-01-01,10:46:27,ROM,MRS,2,2013-07-20 00:00:00,2013-08-05 00:00:00,0
80,2013-01-01,15:29:41,FRA,TFN,2,2013-06-11 00:00:00,2013-06-18 00:00:00,0
81,2013-01-01,12:38:55,FRA,NYC,2,2013-03-24 00:00:00,2013-04-03 00:00:00,0
82,2013-01-01,14:17:37,KOA,YVR,1,2013-02-05 00:00:00,,0
83,2013-01-01,02:04:17,CCU,HYD,1,2013-01-08 00:00:00,,0
84,2013-01-01,11:39:49,IXC,PNQ,2,2013-01-05 00:00:00,2013-01-11 00:00:00,0
85,2013-01-01,11:08:27,CMN,BLQ,1,2013-01-08 00:00:00,,0
86,2013-01-01,17:28:53,ACE,DUS,1,2013-07-08 00:00:00,,0
87,2013-01-01,15:00:33,SKG,DUS,2,2013-03-29 00:00:00,2013-04-10 00:00:00,0
88,2013-01-01,23:26:45,SLC,MKC,2,2013-01-08 00:00:00,2013-01-22 00:00:00,0
89,2013-01-01,13:53:02,AMS,DEN,2,2013-05-14 00:00:00,2013-06-07 00:00:00,0
90,2013-01-01,00:35:02,JFK,VIE,2,2013-01-25 00:00:00,2013-02-01 00:00:00,0
91,2013-01-01,14:31:13,VTZ,SVX,1,2013-01-08 00:00:00,,0
92,2013-01-01,15:10:30,PAR,REK,2,2013-08-28 00:00:00,2013-09-03 00:00:00,0
93,2013-01-01,20:15:57,FRA,AGP,2,2013-10-13 00:00:00,2013-10-20 00:00:00,0
94,2013-01-01,10:33:19,DXB,KUL,2,2013-01-16 00:00:00,2013-01-23 00:00:00,0
95,2013-01-01,18:39:14,PMO,VRN,2,2013-01-05 00:00:00,2013-01-07 00:00:00,0
96,2013-01-01,08:47:07,QYG,SFO,2,2013-04-01 00:00:00,2013-04-05 00:00:00,0
97,2013-01-01,21:07:29,MAH,PAR,1,2013-08-17 00:00:00,,0
98,2013-01-01,17:17:21,SFO,LGW,2,2013-06-19 00:00:00,2013-07-02 00:00:00,0
99,2013-01-01,15:08:37,LHR,LAX,2,2013-09-07 00:00:00,2013-09-28 00:00:00,0
100,2013-01-01,08:51:25,HRB,HEK,1,2013-01-15 00:00:00,,0
101,2013-01-01,16:16:57,FUK,HNL,4,2013-03-10 00:00:00,2013-03-11 00:00:00,0
102,2013-01-01,16:06:33,STN,KTW,2,2013-01-25 00:00:00,2013-01-27 00:00:00,0
103,2013-01-01,01:28:57,NYC,OAX,2,2013-01-06 00:00:00,2013-02-09 00:00:00,0
104,2013-01-01,01:30:54,MAA,ORD,1,2013-01-05 00:00:00,,0
105,2013-01-01,17:42:20,LHR,ATL,2,2013-06-11 00:00:00,2013-06-16 00:00:00,0
106,2013-01-01,19:49:58,MUC,FCO,2,2013-05-18 00:00:00,2013-05-25 00:00:00,0
107,2013-01-01,07:16:38,HKG,CRK,2,2013-02-08 00:00:00,2013-02-16 00:00:00,0
108,2013-01-01,10:40:17,EZE,CUZ,4,2013-01-19 00:00:00,2013-01-20 00:00:00,0
109,2013-01-01,20:35:26,DUB,YEG,1,2013-05-17 00:00:00,,0
110,2013-01-01,00:52:04,PHL,GDL,2,2013-05-11 00:00:00,2013-05-18 00:00:00,0
111,2013-01-01,10:11:26,TLS,LAN,2,2013-01-24 00:00:00,2013-01-27 00:00:00,0
112,2013-01-01,09:23:59,FRA,LON,1,2013-01-07 00:00:00,,0
113,2013-01-01,23:40:53,ALC,BCN,2,2013-02-08 00:00:00,2013-02-08 00:00:00,0
114,2013-01-01,22:30:16,MAN,MJV,2,2013-06-01 00:00:00,2013-06-07 00:00:00,0
115,2013-01-01,01:32:24,DCA,JFK,2,2013-01-15 00:00:00,2013-01-15 00:00:00,0
116,2013-01-01,20:59:27,YKF,NAS,2,2013-01-22 00:00:00,2013-01-29 00:00:00,0
117,2013-01-01,00:02:22,SPU,VIE,4,2013-01-22 00:00:00,2013-01-23 00:00:00,0
118,2013-01-01,12:17:36,LIS,ROM,1,2013-01-18 00:00:00,,0
119,2013-01-01,21:52:53,PMI,LIS,1,2013-06-07 00:00:00,,0
120,2013-01-01,03:19:12,YYC,IST,2,2013-02-10 00:00:00,2013-02-28 00:00:00,0
121,2013-01-01,23:05:58,YYZ,YYC,1,2013-01-02 00:00:00,,0
122,2013-01-01,18:07:31,PAR,NYC,2,2013-06-05 00:00:00,2013-06-13 00:00:00,0
123,2013-01-01,10:32:29,LHR,JFK,2,2013-07-25 00:00:00,2013-07-29 00:00:00,0
124,2013-01-01,14:49:50,ZRH,OSL,2,2013-03-01 00:00:00,2013-03-05 00:00:00,0
125,2013-01-01,22:17:12,DUS,BER,1,2013-11-24 00:00:00,,0
126,2013-01-01,20:51:07,MRS,MUC,2,2013-04-06 00:00:00,2013-04-13 00:00:00,0
127,2013-01-01,13:53:19,EWR,TUL,2,2013-04-18 00:00:00,2013-04-18 00:00:00,0
128,2013-01-01,10:44:06,AMD,LKO,1,2013-02-26 00:00:00,,0
129,2013-01-01,23:19:41,ORL,PAR,2,2013-07-25 00:00:00,2013-07-31 00:00:00,0
130,2013-01-01,18:01:04,FLN,SSA,1,2013-02-14 00:00:00,,0
131,2013-01-01,09:27:43,ROM,DXB,2,2013-02-15 00:00:00,2013-03-02 00:00:00,0
132,2013-01-01,18:53:32,NYC,DEL,2,2013-04-10 00:00:00,2013-04-17 00:00:00,0
133,2013-01-01,10:16:26,HEL,AYT,2,2013-06-01 00:00:00,2013-06-08 00:00:00,0
134,2013-01-01,23:30:44,MEL,SYD,1,2013-01-31 00:00:00,,0
135,2013-01-01,12:34:50,BCN,BER,2,2013-01-08 00:00:00,2013-01-16 00:00:00,0
136,2013-01-01,19:51:20,AGP,DXB,2,2013-01-24 00:00:00,2013-01-25 00:00:00,0
137,2013-01-01,22:26:45,FRA,BKK,2,2013-07-05 00:00:00,2013-07-27 00:00:00,0
138,2013-01-01,23:59:06,RIO,TYO,2,2013-08-03 00:00:00,2013-08-22 00:00:00,0
139,2013-01-01,15:51:33,ZRH,BUD,2,2013-01-05 00:00:00,2013-01-08 00:00:00,0
140,2013-01-01,20:59:58,AYT,DME,1,2013-01-03 00:00:00,,0
141,2013-01-01,20:18:09,YUL,SLC,2,2013-03-09 00:00:00,2013-03-17 00:00:00,0
142,2013-01-01,23:02:40,UDI,BHZ,2,2013-01-11 00:00:00,2013-01-13 00:00:00,0
143,2013-01-01,07:26:59,RUH,CGK,2,2013-05-22 00:00:00,2013-06-06 00:00:00,0
144,2013-01-01,05:42:59,BOG,AMS,2,2013-01-11 00:00:00,2013-06-15 00:00:00,0
145,2013-01-01,17:01:51,CTG,MDE,1,2013-03-16 00:00:00,,0
146,2013-01-01,19:07:24,FDH,LPA,1,2013-12-22 00:00:00,,0
147,2013-01-01,15:35:53,HHN,AGP,1,2013-01-06 00:00:00,,0
148,2013-01-01,09:16:50,CTU,AKL,2,2013-01-15 00:00:00,2013-01-23 00:00:00,0
149,2013-01-01,11:28:55,SKG,MJT,1,2013-06-25 00:00:00,,0
150,2013-01-01,01:44:59,HND,BKK,2,2013-04-09 00:00:00,2013-05-08 00:00:00,0
151,2013-01-01,10:46:21,FRA,MAD,1,2013-03-03 00:00:00,,0
152,2013-01-01,20:18:28,VLC,FUE,2,2013-01-13 00:00:00,2013-01-20 00:00:00,0
153,2013-01-01,04:00:38,IAD,DEL,2,2013-01-30 00:00:00,2013-02-10 00:00:00,0
154,2013-01-01,23:21:30,PHL,BIS,2,,,0
155,2013-01-01,21:20:51,PAR,TYO,2,2013-03-03 00:00:00,2013-03-14 00:00:00,0
156,2013-01-01,19:11:13,GOT,BJA,2,2013-05-01 00:00:00,2013-05-06 00:00:00,0
157,2013-01-01,15:09:22,LHE,NYC,1,2013-03-05 00:00:00,,0
158,2013-01-01,07:56:59,ARN,HKT,4,2013-03-01 00:00:00,2013-03-02 00:00:00,0
159,2013-01-01,07:18:23,SIN,SRG,2,2013-09-21 00:00:00,2013-09-25 00:00:00,0
160,2013-01-01,21:27:41,BOM,GOI,2,2013-01-02 00:00:00,2013-01-04 00:00:00,0
161,2013-01-01,17:57:14,FRA,CMB,2,2013-03-23 00:00:00,2013-04-05 00:00:00,0
162,2013-01-01,19:13:20,MSP,QRO,2,2013-04-13 00:00:00,2013-04-19 00:00:00,0
163,2013-01-01,22:38:39,YYZ,BOM,2,2013-01-10 00:00:00,2013-02-06 00:00:00,0
164,2013-01-01,18:50:56,TYO,NYC,1,2013-07-14 00:00:00,,0
165,2013-01-01,03:40:25,SFO,BCN,2,2013-03-20 00:00:00,2013-04-24 00:00:00,0
166,2013-01-01,20:26:34,ATL,EWR,2,2013-01-05 00:00:00,2013-01-11 00:00:00,0
167,2013-01-01,19:26:46,MAN,YVR,2,2013-09-01 00:00:00,2013-10-27 00:00:00,0
168,2013-01-01,20:46:25,BUD,TYO,2,2013-01-04 00:00:00,2013-01-12 00:00:00,0
169,2013-01-01,22:01:48,DFW,LAS,2,2013-01-13 00:00:00,2013-01-15 00:00:00,0
170,2013-01-01,19:41:52,FRA,JFK,2,2013-05-06 00:00:00,2013-05-22 00:00:00,0
171,2013-01-01,22:21:52,LHR,TXL,2,2013-01-13 00:00:00,2013-01-13 00:00:00,0
172,2013-01-01,18:34:27,BOM,JED,2,2013-01-26 00:00:00,2013-01-29 00:00:00,0
173,2013-01-01,15:34:03,TCI,ALC,1,2013-02-15 00:00:00,,0
174,2013-01-01,22:49:21,LAX,BJX,1,2013-01-05 00:00:00,,0
175,2013-01-01,17:10:52,WAW,ROM,2,2013-06-04 00:00:00,2013-06-09 00:00:00,0
176,2013-01-01,10:11:56,GOT,BKK,2,2013-06-14 00:00:00,2013-07-07 00:00:00,0
177,2013-01-01,11:26:34,MOW,BCN,2,2013-01-16 00:00:00,2013-01-21 00:00:00,0
178,2013-01-01,08:00:17,SFO,CUN,2,2013-07-20 00:00:00,2013-07-31 00:00:00,0
179,2013-01-01,22:16:21,HEL,GLA,2,2013-06-05 00:00:00,2013-06-12 00:00:00,0
180,2013-01-01,13:02:08,FRA,PVG,2,2013-07-01 00:00:00,2013-07-15 00:00:00,0
181,2013-01-01,23:43:11,FRA,BUH,2,2013-01-06 00:00:00,2013-01-11 00:00:00,0
182,2013-01-01,21:42:12,CLT,GVA,2,2013-04-09 00:00:00,2013-04-18 00:00:00,0
183,2013-01-01,00:55:16,RUH,KUL,5,2013-03-31 00:00:00,2013-03-31 00:00:00,0
184,2013-01-01,11:35:15,OSL,MUC,3,2013-02-07 00:00:00,2013-02-07 00:00:00,0
185,2013-01-01,16:21:00,MRS,YYZ,2,2013-02-23 00:00:00,2013-03-06 00:00:00,0
186,2013-01-01,09:46:07,CPH,BCN,2,2013-05-09 00:00:00,2013-05-12 00:00:00,0
187,2013-01-01,12:26:40,YYC,YYZ,2,2013-02-03 00:00:00,2013-02-04 00:00:00,0
188,2013-01-01,02:07:17,NDR,BCN,2,2013-01-18 00:00:00,2013-02-01 00:00:00,0
189,2013-01-01,06:29:04,TUN,FRA,2,2013-01-28 00:00:00,2013-01-28 00:00:00,0
190,2013-01-01,18:09:03,BHX,STO,2,2013-05-10 00:00:00,2013-05-13 00:00:00,0
191,2013-01-01,13:04:30,FRA,IST,2,2013-01-10 00:00:00,2013-05-12 00:00:00,0
192,2013-01-01,17:39:38,PMI,STR,1,2013-06-27 00:00:00,,0
193,2013-01-01,06:53:50,COK,CHI,1,2013-02-02 00:00:00,,0
194,2013-01-01,18:28:14,MAN,JFK,2,2013-08-10 00:00:00,2013-08-24 00:00:00,0
195,2013-01-01,13:31:13,HKG,CTS,4,2013-02-06 00:00:00,2013-02-06 00:00:00,0
196,2013-01-01,09:04:19,CTA,LUX,1,2013-01-05 00:00:00,,0
197,2013-01-01,17:47:35,MOW,IST,1,2013-01-05 00:00:00,,0
198,2013-01-01,19:17:03,EWR,SJU,2,2013-02-17 00:00:00,2013-02-21 00:00:00,0
199,2013-01-01,09:39:44,BER,LAS,2,2013-01-14 00:00:00,2013-01-28 00:00:00,0
200,2013-01-01,22:46:32,HKG,BKI,2,2013-08-17 00:00:00,2013-09-02 00:00:00,0
201,2013-01-01,19:01:36,VCE,CPT,2,2013-01-01 00:00:00,2013-01-11 00:00:00,0
202,2013-01-01,16:13:40,FRA,CNS,2,2013-02-25 00:00:00,2013-04-21 00:00:00,0
203,2013-01-01,16:39:48,TLS,RUN,2,2013-07-13 00:00:00,2013-07-26 00:00:00,0
204,2013-01-01,17:12:25,YEG,RAR,2,2013-01-14 00:00:00,2013-01-21 00:00:00,0
205,2013-01-01,19:56:57,PHX,DEL,2,2013-05-10 00:00:00,2013-08-23 00:00:00,0
206,2013-01-01,18:24:08,MAN,KHI,2,2013-01-08 00:00:00,2013-02-12 00:00:00,0
207,2013-01-01,20:27:53,NYC,MBJ,2,2013-02-17 00:00:00,2013-02-24 00:00:00,0
208,2013-01-01,15:58:35,CGN,BCN,2,2013-02-04 00:00:00,2013-02-04 00:00:00,0
209,2013-01-01,18:21:27,NTE,SBH,2,2013-08-04 00:00:00,2013-08-31 00:00:00,0
210,2013-01-01,11:45:07,FLL,DFW,1,2013-01-08 00:00:00,,0
211,2013-01-01,18:19:10,MAN,TPA,2,2013-09-05 00:00:00,2013-11-11 00:00:00,0
212,2013-01-01,22:11:15,ORD,MUC,2,2013-09-02 00:00:00,2013-09-11 00:00:00,0
213,2013-01-01,09:51:08,JFK,LGW,2,2013-04-29 00:00:00,2013-05-01 00:00:00,0
214,2013-01-01,20:54:12,LON,LIS,2,2013-05-04 00:00:00,2013-05-18 00:00:00,0
215,2013-01-01,00:55:24,TFS,BER,2,2013-03-30 00:00:00,2013-03-30 00:00:00,0
216,2013-01-01,20:47:14,MIL,PAR,2,2013-02-06 00:00:00,2013-02-12 00:00:00,0
217,2013-01-01,18:50:02,MIA,NYC,1,2013-01-05 00:00:00,,0
218,2013-01-01,15:40:41,YUL,JFK,2,2013-02-02 00:00:00,2013-02-09 00:00:00,0
219,2013-01-01,13:39:48,DUS,MUC,2,2013-01-08 00:00:00,2013-01-22 00:00:00,0
220,2013-01-01,20:13:50,IOM,LPL,1,2013-06-27 00:00:00,,0
221,2013-01-01,23:46:18,YYZ,MSP,2,2013-01-10 00:00:00,2013-01-10 00:00:00,0
222,2013-01-01,15:13:20,SAO,POA,2,2013-01-10 00:00:00,2013-01-15 00:00:00,0
223,2013-01-01,08:28:22,EOH,BGA,2,2013-01-30 00:00:00,2013-02-06 00:00:00,0
224,2013-01-01,14:12:31,PAR,TYO,2,2013-02-15 00:00:00,2013-02-24 00:00:00,0
225,2013-01-01,15:24:29,LON,DFW,1,2013-11-10 00:00:00,,0
226,2013-01-01,18:52:24,ATL,DEL,2,2013-04-02 00:00:00,2013-05-15 00:00:00,0
227,2013-01-01,01:03:29,LBA,LHR,2,2013-01-07 00:00:00,2013-01-07 00:00:00,0
228,2013-01-01,12:28:08,NYC,IST,2,2013-10-05 00:00:00,2013-10-12 00:00:00,0
229,2013-01-01,15:18:55,PAR,BCN,2,2013-01-05 00:00:00,2013-01-05 00:00:00,0
230,2013-01-01,23:12:24,LAS,PNH,1,2013-01-29 00:00:00,,0
231,2013-01-01,09:58:25,LIS,FRA,1,2013-01-22 00:00:00,,0
232,2013-01-01,05:11:37,MOW,TIV,2,2013-01-29 00:00:00,2013-02-02 00:00:00,0
233,2013-01-01,14:05:28,RUH,CCJ,1,2013-01-06 00:00:00,,0
234,2013-01-01,13:41:27,LON,BNE,2,2013-08-12 00:00:00,2013-09-06 00:00:00,0
235,2013-01-01,00:50:09,HKG,SYX,2,2013-02-17 00:00:00,2013-02-19 00:00:00,0
236,2013-01-01,13:51:58,BNA,ROM,1,2013-03-02 00:00:00,,0
237,2013-01-01,17:07:06,MEL,SYD,2,2013-01-03 00:00:00,2013-01-10 00:00:00,0
238,2013-01-01,20:04:03,ETZ,RHO,1,2013-04-08 00:00:00,,0
239,2013-01-01,08:52:14,FRA,BKK,2,2013-06-27 00:00:00,2013-07-25 00:00:00,0
240,2013-01-01,17:37:50,IST,GVA,2,2013-05-12 00:00:00,2013-05-24 00:00:00,0
241,2013-01-01,21:39:19,BNE,MEL,2,2013-06-09 00:00:00,2013-06-16 00:00:00,0
242,2013-01-01,18:47:50,GVA,AGP,2,2013-03-09 00:00:00,2013-03-17 00:00:00,0
243,2013-01-01,15:15:58,UFA,MOW,1,2013-02-03 00:00:00,,0
244,2013-01-01,04:49:01,ORY,CPH,2,2013-03-15 00:00:00,2013-03-18 00:00:00,0
245,2013-01-01,20:18:36,PAR,NYC,2,2013-01-26 00:00:00,2013-02-01 00:00:00,0
246,2013-01-01,23:59:17,ZRH,SIN,2,2013-02-04 00:00:00,2013-03-21 00:00:00,0
247,2013-01-01,17:34:28,MCO,KRT,2,2013-01-07 00:00:00,2013-01-21 00:00:00,0
248,2013-01-01,20:53:14,VIE,LCA,2,2013-03-25 00:00:00,2013-03-31 00:00:00,0
249,2013-01-01,15:42:44,IAD,BOM,2,2013-01-13 00:00:00,2013-02-11 00:00:00,0
250,2013-01-01,10:57:52,ATH,TRN,1,2013-01-05 00:00:00,,0
251,2013-01-01,19:13:03,OLB,MIL,1,2013-06-28 00:00:00,,0
252,2013-01-01,12:20:48,PAR,BHX,2,2013-01-02 00:00:00,2013-01-27 00:00:00,0
253,2013-01-01,06:34:31,MUC,BCN,2,2013-01-03 00:00:00,2013-01-06 00:00:00,0
254,2013-01-01,12:36:03,PAR,NYC,2,2013-04-20 00:00:00,2013-04-27 00:00:00,0
255,2013-01-01,17:07:07,MUC,SBZ,2,2013-05-19 00:00:00,2013-05-26 00:00:00,0
256,2013-01-01,23:56:33,BEY,SOF,4,2013-08-19 00:00:00,2013-08-19 00:00:00,0
257,2013-01-01,19:02:19,DXB,BRI,1,2013-03-08 00:00:00,,0
258,2013-01-01,17:01:59,FNC,MIL,2,2013-01-17 00:00:00,2013-02-01 00:00:00,0
259,2013-01-01,23:20:38,FRA,ASU,2,2013-01-09 00:00:00,2013-01-16 00:00:00,0
260,2013-01-01,13:43:22,CNF,RIO,1,2013-01-08 00:00:00,,0
261,2013-01-01,23:19:32,EDI,ACE,2,2013-07-14 00:00:00,2013-07-21 00:00:00,0
262,2013-01-01,17:57:52,PAR,PPT,2,2013-09-02 00:00:00,2013-09-23 00:00:00,0
263,2013-01-01,00:21:42,PVG,PHX,1,2013-01-18 00:00:00,,0
264,2013-01-01,22:33:54,MSP,BNA,1,2013-01-04 00:00:00,,0
265,2013-01-01,04:42:43,SFO,NYC,1,2013-01-04 00:00:00,,0
266,2013-01-01,21:34:24,PHL,JAX,1,2013-03-10 00:00:00,,0
267,2013-01-01,03:27:00,SJC,SZX,2,2013-07-14 00:00:00,2013-08-01 00:00:00,0
268,2013-01-01,16:11:18,MAN,FAO,2,2013-01-04 00:00:00,2013-01-08 00:00:00,0
269,2013-01-01,16:05:22,MUC,BKK,2,2013-02-14 00:00:00,2013-02-28 00:00:00,0
270,2013-01-01,17:16:40,DUB,STT,2,2013-01-06 00:00:00,2013-01-12 00:00:00,0
271,2013-01-01,22:31:32,GDL,LAX,2,,,0
272,2013-01-01,23:03:40,PER,LHR,2,2013-04-30 00:00:00,2013-05-12 00:00:00,0
273,2013-01-01,17:25:22,MLE,ROM,1,2013-01-11 00:00:00,,0
274,2013-01-01,13:30:40,MFE,MCO,2,2013-01-15 00:00:00,2013-01-22 00:00:00,0
275,2013-01-01,02:04:11,ZRH,BKK,4,2013-07-13 00:00:00,2013-07-13 00:00:00,0
276,2013-01-01,21:13:18,HOU,MUC,2,2013-05-31 00:00:00,2013-06-17 00:00:00,0
277,2013-01-01,19:48:46,OSL,MEH,1,2013-01-21 00:00:00,,0
278,2013-01-01,02:12:54,LEJ,LPA,2,2013-07-18 00:00:00,2013-07-27 00:00:00,0
279,2013-01-01,22:18:27,MUC,SKG,1,2013-08-20 00:00:00,,0
280,2013-01-01,21:23:10,HER,ROM,1,2013-06-29 00:00:00,,0
